id,studentId,creator,name,eidolon,year,class,rarity,lore,image,imageSource
001,CA-1246-E-01,風紋工房,ブリギッタ＝ボルトマン,マシーネン＝リッター,Year 2,Eldam,SR,ログ断片未設定,/images/CA-1246-E-01.webp,CA-1246-E-01-風紋工房.webp
002,CA-1246-E-02,詩 -uta-,ルアン,アルカブス・マージコ,Year 2,Eldam,SR,ログ断片未設定,/images/CA-1246-E-02.webp,CA-1246-E-02－詩 -uta-.webp
003,CA-1246-E-03,Hina,サヤ・クロイツ,イグニス,Year 2,Eldam,SR,ログ断片未設定,/images/CA-1246-E-03.webp,CA-1246-E-03-Hina.webp
004,CA-1246-E-04,𝙐𝙨𝙖𝙢𝙞𝙠𝙤別館,朝倉 灯莉,Vesper,Year 2,Eldam,R,ログ断片未設定,/images/CA-1246-E-04.webp,CA-1246-E-04-𝙐𝙨𝙖𝙢𝙞𝙠𝙤別館.webp
005,CA-1246-E-05,dote/AIart,シータ・ロア,ゲイルヘルム,Year 2,Eldam,R,ログ断片未設定,/images/CA-1246-E-05.webp,CA-1246-E-05-doteAIart.webp
006,CA-1246-E-07,Chiffon_β (しふぉん),カイ・ゼロインデックス,シェアド・メモリー,Year 2,Eldam,R,ログ断片未設定,/images/CA-1246-E-07.webp,CA-1246-E-07-Chiffon_β (しふぉん).webp
007,CA-1246-E-09,双子のドラ猫@ つくりびとAI,ルナ・ソレイユ,ベル,Year 2,Eldam,R,ログ断片未設定,/images/CA-1246-E-09.webp,CA-1246-E-09-双子のドラ猫@ つくりびとAI.webp
008,CA-1246-E-12,双子のドラ猫@ つくりびとAI,影猫姫ミア,ファントム,Year 2,Eldam,R,ログ断片未設定,/images/CA-1246-E-12.webp,CA-1246-E-12-双子のドラ猫@ つくりびとAI.webp
009,CA-1246-E-13,Snon＠すのん,白鐘 ミリア,ルクス・セラフィ,Year 2,Eldam,R,ログ断片未設定,/images/CA-1246-E-13.webp,CA-1246-E-13-Snon＠すのん.webp
010,CA-1246-E-14,諭吉@AI,シオ,コハク,Year 2,Eldam,N,ログ断片未設定,/images/CA-1246-E-14.webp,CA-1246-E-14-諭吉@AI.webp
011,CA-1246-E-15,syunn（AIイラスト垢）,ハニィ,リエル,Year 2,Eldam,N,ログ断片未設定,/images/CA-1246-E-15.webp,CA-1246-E-15-syunn（AIイラスト垢）.webp
012,CA-1246-N-01,かりんとう,ネムリ,AUR,Year 2,Novalt,SR,ログ断片未設定,/images/CA-1246-N-01.webp,CA-1246-N-01-かりんとう.webp
013,CA-1246-N-02,Strix8,敬親 切華,断ち切る者,Year 2,Novalt,SR,ログ断片未設定,/images/CA-1246-N-02.webp,CA-1246-N-02-Strix8.webp
014,CA-1246-N-03,Empty,柳・玉輪,アズラエル,Year 2,Novalt,R,ログ断片未設定,/images/CA-1246-N-03.webp,CA-1246-N-03-Empty.webp
015,CA-1246-N-05,美咲,あずき,こいつ,Year 2,Novalt,R,ログ断片未設定,/images/CA-1246-N-05.webp,CA-1246-N-05-美咲.webp
016,CA-1246-N-06,silver_hair_ROX,白波 こもれび,ネビュラグラトニー,Year 2,Novalt,R,ログ断片未設定,/images/CA-1246-N-06.webp,CA-1246-N-06-silver_hair_ROX.webp
017,CA-1246-N-08,陰に隠れし者,影縫ムゲン,自身の影,Year 2,Novalt,R,ログ断片未設定,/images/CA-1246-N-08.webp,CA-1246-N-08-陰に隠れし者.webp
018,CA-1246-N-10,@あすka,姫さま,ヒツジ,Year 2,Novalt,R,ログ断片未設定,/images/CA-1246-N-10.webp,CA-1246-N-10-@あすka.webp
019,CA-1246-N-11,hallohachi,マドーくん,カルヴァリア,Year 2,Novalt,UR,ログ断片未設定,/images/CA-1246-N-11.webp,CA-1246-N-11-hallohachi.webp
020,CA-1246-N-14,あくもん(BadGateway)@AIイラスト,セレーネ・ヴァルツィア,トルメリア,Year 2,Novalt,N,ログ断片未設定,/images/CA-1246-N-14.webp,CA-1246-N-14-あくもん(BadGateway)@AIイラスト.webp
021,CA-1246-P-01,G-con／AI絵師見習い,神崎タフネス,天衝機神 アストラ・イグザム,Year 2,Profeil,SR,ログ断片未設定,/images/CA-1246-P-01.webp,CA-1246-P-01-G-con／AI絵師見習い.webp
022,CA-1246-P-03,芹澤椿（せりざわつばき）＠AI女子高生🎀,シエル・ステラ,アリ,Year 2,Profeil,SR,ログ断片未設定,/images/CA-1246-P-03.webp,CA-1246-P-03-芹澤椿（せりざわつばき）＠AI女子高生🎀.webp
023,CA-1246-P-06,ももか@アラサー丸の内界隈,霞月 つむぎ,忿怒守護霊 玄雷,Year 2,Profeil,R,ログ断片未設定,/images/CA-1246-P-06.webp,CA-1246-P-06-ももか@アラサー丸の内界隈.webp
024,CA-1246-P-08,ルイズの羽🪽@AIイラスト,星宮 雫,虹玉,Year 2,Profeil,R,ログ断片未設定,/images/CA-1246-P-08.webp,CA-1246-P-08-ルイズの羽🪽@AIイラスト.webp
025,CA-1246-P-09,春永睦月 Harunaga Mutsuki,氷海 ルイス,エグザリオン,Year 2,Profeil,R,ログ断片未設定,/images/CA-1246-P-09.webp,CA-1246-P-09-春永睦月　Harunaga Mutsuki.webp
026,CA-1246-P-10,ハチワレ,南海 虹心,アヌエヌエ,Year 2,Profeil,R,ログ断片未設定,/images/CA-1246-P-10.webp,CA-1246-P-10-ハチワレ.webp
027,CA-1246-P-13,リョピタ 🐏 ℜ𝔶𝔬𝔭𝔦ℭ𝔥𝔞𝔫𝔫𝔢𝔩 ♱,ネヴァリス・ノクティリア,カラミュルグ,Year 2,Profeil,R,ログ断片未設定,/images/CA-1246-P-13.webp,CA-1246-P-13-リョピタ 🐏 ℜ𝔶𝔬𝔭𝔦ℭ𝔥𝔞𝔫𝔫𝔢.webp
028,CA-1246-P-14,ミュレ(Muret),蒼風 レイシア,ルミエル,Year 2,Profeil,N,ログ断片未設定,/images/CA-1246-P-14.webp,CA-1246-P-14-ミュレ(Muret).webp
029,CA-1246-P-15,迂遠るら,神代レイナ,アルス・カウサ,Year 2,Profeil,N,ログ断片未設定,/images/CA-1246-P-15.webp,CA-1246-P-15-迂遠るら.webp
030,CA-1246-S-03,AI育生計画,杜逐男,死神カロウシ,Year 2,Speculato,SR,ログ断片未設定,/images/CA-1246-S-03.webp,CA-1246-S-03-AI育生計画.webp
031,CA-1246-S-04,村上もけ #MadeWithAI,セレナ・ヘイズ,ウィルチェア,Year 2,Speculato,SR,ログ断片未設定,/images/CA-1246-S-04.webp,CA-1246-S-04-村上もけ #MadeWithAI.webp
032,CA-1246-S-05,tyobirin（チョビりん）,きら,ぽん,Year 2,Speculato,R,ログ断片未設定,/images/CA-1246-S-05.webp,CA-1246-S-05-tyobirin（チョビりん）.webp
033,CA-1246-S-06,三日月煉華-Renka-,Leo Swift,紫電来臨,Year 2,Speculato,R,ログ断片未設定,/images/CA-1246-S-06.webp,CA-1246-S-06-三日月煉華-Renka-.webp
034,CA-1246-S-08,門東青史 / Kadoazuma (ちょっぴり叡智な小説書いています),御影 綾,"焔喰, 影衆",Year 2,Speculato,R,ログ断片未設定,/images/CA-1246-S-08.webp,CA-1246-S-08-Kadoazuma (ちょっぴり叡智な小説書いています).webp
035,CA-1246-S-11,びとびとさん,錬釵 鍋鉤鏤,ぐるぐる,Year 2,Speculato,R,ログ断片未設定,/images/CA-1246-S-11.webp,CA-1246-S-11-びとびとさん.webp
036,CA-1246-S-13,三条ひかる,フローラ・鈴木,アイン,Year 2,Speculato,R,ログ断片未設定,/images/CA-1246-S-13.webp,CA-1246-S-13-三条ひかる.webp
037,CA-1246-S-14,bunsekiki(AU-09),月城,凪,Year 2,Speculato,R,ログ断片未設定,/images/CA-1246-S-14.webp,CA-1246-S-14-bunsekiki(AU-09).webp
038,CA-1246-S-15,User（うーさー）,澪,ちび,Year 2,Speculato,N,ログ断片未設定,/images/CA-1246-S-15.webp,CA-1246-S-15-User（うーさー）.webp
039,CA-1246-V-03,ss,リリ,ルル,Year 2,Valkein,SR,ログ断片未設定,/images/CA-1246-V-03.webp,CA-1246-V-03-獏麒.webp
040,CA-1246-V-05,獏麒,グラゴギオ•ゴルドラギア,灼竜牙,Year 2,Valkein,SR,ログ断片未設定,/images/CA-1246-V-05.webp,CA-1246-V-05-獏麒.webp
041,CA-1246-V-06,BlastBox AI Music,夢星 渺,夜,Year 2,Valkein,SR,ログ断片未設定,/images/CA-1246-V-06.webp,CA-1246-V-06-BlastBox AI Music.webp
042,CA-1246-V-07,ugimalu✨AI✨Imaginartist✨(うぎまる),夜白 紡,白燈,Year 2,Valkein,R,ログ断片未設定,/images/CA-1246-V-07.webp,CA-1246-V-07-ugimalu｜YŌRŌEN Imaginartist.webp
043,CA-1246-V-08,アフリカ太郎AI設計士,クレイナ,テクノズ・ジャングル,Year 2,Valkein,R,ログ断片未設定,/images/CA-1246-V-08.webp,CA-1246-V-08-アフリカ太郎AI設計士.webp
044,CA-1246-V-11,葉月_AIart🐾,アイズ,ブルー,Year 2,Valkein,R,ログ断片未設定,/images/CA-1246-V-11.webp,CA-1246-V-11-葉月_AIart🐾.webp
045,CA-1246-V-13,ひつじ,アニス・ハルトマン,シェルノワール,Year 2,Valkein,SSR,ログ断片未設定,/images/CA-1246-V-13.webp,CA-1246-V-13-ひつじ.webp
046,CA-1246-V-14,たやちゅん（tayacyun）,セラ・ノクス,ヴェイル・ハウンド,Year 2,Valkein,R,ログ断片未設定,/images/CA-1246-V-14.webp,CA-1246-V-14-たやちゅん（tayacyun).webp
047,CA-1246-V-15,mimincyu(みみんちゅ),影森ノクシア,ヴェルグラ,Year 2,Valkein,R,ログ断片未設定,/images/CA-1246-V-15.webp,CA-1246-V-15-mimincyu(みみんちゅ).webp
